	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	11015	13.50%	10654	96.72% Misclassified as: VBW-134(1.22)% | JJD-113(1.03)% | FW-60(0.54)% | VBOF-9(0.08)% | RBW-7(0.06)% | NNC_CCP-6(0.05)% | CCB-5(0.05)% | NNP-5(0.05)% | CCT-3(0.03)% | VBRF-3(0.03)% | VBTR-3(0.03)% | VBTS-3(0.03)% | RBD-2(0.02)% | VBS-2(0.02)% | CCU-1(0.01)% | JJCC-1(0.01)% | JJD_CCP-1(0.01)% | RBL-1(0.01)% | VBTF-1(0.01)% | VBTS_VBOF-1(0.01)% | 
         NNP	 7834	9.60%	 7777	99.27% Misclassified as: NNPA-24(0.31)% | FW-9(0.11)% | NNC-8(0.10)% | CDB-5(0.06)% | DTC-4(0.05)% | JJD-2(0.03)% | CCR-1(0.01)% | DTP-1(0.01)% | NNP_CCP-1(0.01)% | PRO-1(0.01)% | VBW-1(0.01)% | 
         CCB	 5104	6.25%	 5081	99.55% Misclassified as: CCT-8(0.16)% | RBW-7(0.14)% | PRC-3(0.06)% | RBD-2(0.04)% | JJD-1(0.02)% | JJD_CCP-1(0.02)% | NNC-1(0.02)% | 
         CCT	 4952	6.07%	 4926	99.47% Misclassified as: CCB-8(0.16)% | JJD-4(0.08)% | NNC-4(0.08)% | CCU-3(0.06)% | CCT_CCP-1(0.02)% | DTP-1(0.02)% | FW-1(0.02)% | JJD_CCP-1(0.02)% | NNP-1(0.02)% | NNPA-1(0.02)% | RBR-1(0.02)% | 
         CCP	 4075	4.99%	 4033	98.97% Misclassified as: RBI-37(0.91)% | CCB-4(0.10)% | DTP-1(0.02)% | 
         DTC	 3959	4.85%	 3958	99.97% Misclassified as: NNP-1(0.03)% | 
         PMC	 3921	4.80%	 3920	99.97% Misclassified as: PMS-1(0.03)% | 
          FW	 3188	3.91%	 3029	95.01% Misclassified as: NNC-118(3.70)% | JJD-16(0.50)% | NNP-9(0.28)% | VBTR-4(0.13)% | NNCA-3(0.09)% | NNPA-2(0.06)% | VBTS-2(0.06)% | CDB-1(0.03)% | NNC_CCP-1(0.03)% | PMQ-1(0.03)% | RBI-1(0.03)% | RBI_CCP-1(0.03)% | 
         PMP	 3039	3.72%	 3039	100.00% Misclassified as: 
        DTCP	 2546	3.12%	 2546	100.00% Misclassified as: 
         PMS	 2398	2.94%	 2395	99.87% Misclassified as: PMQ-2(0.08)% | NNPA-1(0.04)% | 
         CCA	 2153	2.64%	 2153	100.00% Misclassified as: 
         JJD	 2037	2.50%	 1775	87.14% Misclassified as: NNC-122(5.99)% | VBTS-22(1.08)% | RBD-21(1.03)% | FW-15(0.74)% | VBW-9(0.44)% | PRI-8(0.39)% | VBAF-8(0.39)% | VBTF-7(0.34)% | VBTR-7(0.34)% | JJD_CCP-6(0.29)% | NNP-6(0.29)% | JJC-5(0.25)% | CCB-4(0.20)% | JJCC-4(0.20)% | RBW-4(0.20)% | JJN-3(0.15)% | JJCS-2(0.10)% | RBL-2(0.10)% | RBT-2(0.10)% | PRI_CCP-1(0.05)% | PRQ-1(0.05)% | RBI-1(0.05)% | RBN-1(0.05)% | VBOF-1(0.05)% | 
        VBTS	 1730	2.12%	 1627	94.05% Misclassified as: VBTR-44(2.54)% | VBOF-32(1.85)% | RBD-10(0.58)% | JJD-4(0.23)% | FW-3(0.17)% | NNC-3(0.17)% | JJCS_JJD-2(0.12)% | VBOL-1(0.06)% | VBRF-1(0.06)% | VBTR_CCP-1(0.06)% | VBTS_CCP-1(0.06)% | VBTS_VBOF-1(0.06)% | 
         CDB	 1652	2.02%	 1634	98.91% Misclassified as: JJN-9(0.54)% | PMS-4(0.24)% | FW-1(0.06)% | JJD-1(0.06)% | NNC-1(0.06)% | PMP-1(0.06)% | PRI-1(0.06)% | 
     JJD_CCP	 1460	1.79%	 1302	89.18% Misclassified as: NNC_CCP-62(4.25)% | PRI_CCP-27(1.85)% | RBD_CCP-20(1.37)% | VBTS_CCP-8(0.55)% | RBW_CCP-7(0.48)% | VBTR_CCP-7(0.48)% | JJD-3(0.21)% | NNP_CCP-3(0.21)% | PRQ_CCP-3(0.21)% | VBAF_CCP-3(0.21)% | CCB-2(0.14)% | JJN_CCP-2(0.14)% | NNC-2(0.14)% | VBOF_CCP-2(0.14)% | FW-1(0.07)% | JJC_CCP-1(0.07)% | PRI-1(0.07)% | RBT_CCP-1(0.07)% | VBTF-1(0.07)% | VBTS-1(0.07)% | VBW_CCP-1(0.07)% | 
        VBTR	 1301	1.59%	 1201	92.31% Misclassified as: VBTS-56(4.30)% | VBTR_VBAF-16(1.23)% | VBOF-8(0.61)% | VBTR_CCP-7(0.54)% | NNC-4(0.31)% | VBTF-4(0.31)% | RBD-2(0.15)% | JJD-1(0.08)% | RBD_CCP-1(0.08)% | VBAF-1(0.08)% | 
          LM	 1292	1.58%	 1292	100.00% Misclassified as: 
     PRI_CCP	 1053	1.29%	 1036	98.39% Misclassified as: JJD_CCP-8(0.76)% | JJN_CCP-5(0.47)% | PRQ_CCP-3(0.28)% | RBD_CCP-1(0.09)% | 
     NNC_CCP	  970	1.19%	  904	93.20% Misclassified as: JJD_CCP-51(5.26)% | NNC-3(0.31)% | RBD_CCP-2(0.21)% | VBTS_CCP-2(0.21)% | VBW_CCP-2(0.21)% | CCB-1(0.10)% | FW-1(0.10)% | JJN-1(0.10)% | JJN_CCP-1(0.10)% | RBW_CCP-1(0.10)% | VBOF_CCP-1(0.10)% | 
         DTP	  926	1.13%	  926	100.00% Misclassified as: 
         RBI	  813	1.00%	  746	91.76% Misclassified as: CCP-67(8.24)% | 
         VBW	  810	0.99%	  588	72.59% Misclassified as: NNC-144(17.78)% | VBAF-29(3.58)% | JJD-16(1.98)% | VBS-12(1.48)% | VBTF-6(0.74)% | VBOF-4(0.49)% | RBW-3(0.37)% | RBD-2(0.25)% | VBW_CCP-2(0.25)% | FW-1(0.12)% | NNP-1(0.12)% | RBD_CCP-1(0.12)% | RBL-1(0.12)% | 
