	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	11106	13.61%	10566	95.14% Misclassified as: FW-196(1.76)% | JJD-146(1.31)% | VBW-113(1.02)% | VBOF-14(0.13)% | NNP-12(0.11)% | RBW-10(0.09)% | NNC_CCP-7(0.06)% | VBS-6(0.05)% | VBTR-6(0.05)% | VBTS-6(0.05)% | CCB-4(0.04)% | CCT-3(0.03)% | NNCA-3(0.03)% | PRI-2(0.02)% | VBAF-2(0.02)% | VBTF-2(0.02)% | CCR_CCA-1(0.01)% | CDB-1(0.01)% | JJCC-1(0.01)% | JJD_CCP-1(0.01)% | PMS-1(0.01)% | RBD_CCP-1(0.01)% | RBL-1(0.01)% | VBTS_VBOF-1(0.01)% | 
         NNP	 7828	9.59%	 7759	99.12% Misclassified as: NNPA-22(0.28)% | NNC-12(0.15)% | FW-11(0.14)% | NNP_CCP-7(0.09)% | CDB-5(0.06)% | DTC-4(0.05)% | JJD-2(0.03)% | CCR-1(0.01)% | DTP-1(0.01)% | JJN-1(0.01)% | PRO-1(0.01)% | VBTR-1(0.01)% | VBW-1(0.01)% | 
         CCB	 5118	6.27%	 5080	99.26% Misclassified as: RBW-10(0.20)% | CCT-9(0.18)% | NNC-7(0.14)% | PRC-4(0.08)% | RBD-4(0.08)% | CCP-3(0.06)% | JJD-1(0.02)% | 
         CCT	 4936	6.05%	 4907	99.41% Misclassified as: CCB-7(0.14)% | CCT_CCP-3(0.06)% | CCP-2(0.04)% | CCU-2(0.04)% | JJD_CCP-2(0.04)% | NNC-2(0.04)% | RBM-2(0.04)% | CCA-1(0.02)% | CCR-1(0.02)% | DTCP-1(0.02)% | FW-1(0.02)% | JJD-1(0.02)% | NNCA-1(0.02)% | NNP-1(0.02)% | NNPA-1(0.02)% | RBW-1(0.02)% | 
         CCP	 4060	4.97%	 4016	98.92% Misclassified as: RBI-39(0.96)% | CCT-3(0.07)% | DTC-1(0.02)% | DTP-1(0.02)% | 
         DTC	 3955	4.85%	 3953	99.95% Misclassified as: CCB-1(0.03)% | NNP-1(0.03)% | 
         PMC	 3923	4.81%	 3920	99.92% Misclassified as: PMS-3(0.08)% | 
         PMP	 3040	3.73%	 3039	99.97% Misclassified as: PMS-1(0.03)% | 
          FW	 2902	3.56%	 2674	92.14% Misclassified as: NNC-180(6.20)% | JJD-14(0.48)% | NNP-14(0.48)% | VBTR-4(0.14)% | NNCA-3(0.10)% | NNPA-2(0.07)% | VBOF-2(0.07)% | VBTS-2(0.07)% | CCP-1(0.03)% | JJCC-1(0.03)% | NNC_CCP-1(0.03)% | PMQ-1(0.03)% | RBI-1(0.03)% | RBI_CCP-1(0.03)% | VBW-1(0.03)% | 
        DTCP	 2550	3.12%	 2545	99.80% Misclassified as: DTC-4(0.16)% | NNC-1(0.04)% | 
