	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	11106	13.61%	10434	93.95% Misclassified as: FW-322(2.90)% | JJD-138(1.24)% | VBW-121(1.09)% | VBOF-16(0.14)% | NNP-12(0.11)% | RBW-12(0.11)% | NNC_CCP-7(0.06)% | VBS-6(0.05)% | VBTR-6(0.05)% | VBTS-6(0.05)% | CCB-4(0.04)% | CCT-4(0.04)% | NNCA-3(0.03)% | PRI-2(0.02)% | VBAF-2(0.02)% | VBTF-2(0.02)% | CCR_CCA-1(0.01)% | CDB-1(0.01)% | JJCC-1(0.01)% | JJD_CCP-1(0.01)% | JJN-1(0.01)% | PMS-1(0.01)% | RBD-1(0.01)% | RBL-1(0.01)% | VBOF_CCP-1(0.01)% | 
         NNP	 7828	9.59%	 7766	99.21% Misclassified as: NNPA-23(0.29)% | FW-8(0.10)% | NNC-8(0.10)% | NNP_CCP-6(0.08)% | CDB-5(0.06)% | DTC-4(0.05)% | JJD-2(0.03)% | CCR-1(0.01)% | DTP-1(0.01)% | JJN-1(0.01)% | JJN_CCP-1(0.01)% | PRO-1(0.01)% | VBW-1(0.01)% | 
         CCB	 5118	6.27%	 5087	99.39% Misclassified as: RBW-9(0.18)% | CCT-8(0.16)% | NNC-6(0.12)% | CCP-3(0.06)% | RBD-3(0.06)% | JJD-1(0.02)% | PRC-1(0.02)% | 
         CCT	 4936	6.05%	 4909	99.45% Misclassified as: CCB-8(0.16)% | CCP-2(0.04)% | CCT_CCP-2(0.04)% | FW-2(0.04)% | JJD_CCP-2(0.04)% | NNC-2(0.04)% | RBM-2(0.04)% | CCA-1(0.02)% | CCR-1(0.02)% | CCU-1(0.02)% | DTCP-1(0.02)% | JJD-1(0.02)% | NNPA-1(0.02)% | RBW-1(0.02)% | 
         CCP	 4060	4.97%	 4017	98.94% Misclassified as: RBI-38(0.94)% | CCT-3(0.07)% | DTC-1(0.02)% | DTP-1(0.02)% | 
         DTC	 3955	4.85%	 3952	99.92% Misclassified as: NNP-2(0.05)% | CCB-1(0.03)% | 
         PMC	 3923	4.81%	 3920	99.92% Misclassified as: PMS-3(0.08)% | 
         PMP	 3040	3.73%	 3039	99.97% Misclassified as: PMS-1(0.03)% | 
          FW	 2902	3.56%	 2737	94.31% Misclassified as: NNC-117(4.03)% | JJD-14(0.48)% | NNP-13(0.45)% | VBTR-4(0.14)% | NNCA-3(0.10)% | NNC_CCP-3(0.10)% | NNPA-2(0.07)% | RBI_CCP-2(0.07)% | VBTS-2(0.07)% | JJD_CCP-1(0.03)% | PMQ-1(0.03)% | RBI-1(0.03)% | VBOF-1(0.03)% | VBW-1(0.03)% | 
        DTCP	 2550	3.12%	 2545	99.80% Misclassified as: DTC-4(0.16)% | NNC-1(0.04)% | 
         PMS	 2394	2.93%	 2391	99.87% Misclassified as: PMQ-2(0.08)% | NNP-1(0.04)% | 
         CCA	 2154	2.64%	 2152	99.91% Misclassified as: CCT-1(0.05)% | FW-1(0.05)% | 
         JJD	 2111	2.59%	 1711	81.05% Misclassified as: NNC-216(10.23)% | RBD-35(1.66)% | FW-27(1.28)% | JJD_CCP-15(0.71)% | VBTS-15(0.71)% | VBW-13(0.62)% | VBTR-11(0.52)% | JJCC-7(0.33)% | PRI-7(0.33)% | RBW-6(0.28)% | VBAF-6(0.28)% | VBTF-6(0.28)% | NNP-5(0.24)% | RBT-5(0.24)% | CCB-4(0.19)% | CDB-4(0.19)% | JJC-4(0.19)% | RBL-3(0.14)% | CCT-2(0.09)% | JJCS-2(0.09)% | JJN-2(0.09)% | RBN-2(0.09)% | RBI-1(0.05)% | VBS-1(0.05)% | VBTF_VBAF-1(0.05)% | 
        VBTS	 1894	2.32%	 1660	87.65% Misclassified as: VBOF-125(6.60)% | VBTR-59(3.12)% | RBD-14(0.74)% | NNC-8(0.42)% | JJD-7(0.37)% | VBTS_VBOF-5(0.26)% | FW-4(0.21)% | VBTR_VBOF-3(0.16)% | JJCS_JJD-2(0.11)% | VBTR_CCP-2(0.11)% | VBTS_CCP-2(0.11)% | VBAF-1(0.05)% | VBOL-1(0.05)% | VBTF-1(0.05)% | 
         CDB	 1643	2.01%	 1620	98.60% Misclassified as: JJN-12(0.73)% | PMS-4(0.24)% | NNC-3(0.18)% | PRI-2(0.12)% | FW-1(0.06)% | PMP-1(0.06)% | 
