Training Data Size,Test Data Size,Test Tokens Size,Tagging Results Filename, Gold File, Correct Tags,Accuracy,Precision, Recall,Remarks
12134,3033,81610,left3words_cg.txt,filipino-tagged-joey-checked-revised-eng-nouns,78073,0.9566597230731528,0.7436308965818459,0.6947148940466777,
12134,3033,81610,left3words_cg.txt,filipino-tagged-joey-checked-revised-eng-nouns,78267,0.9590368827349589,0.7437595797774906,0.6951464770218416,overwrote_EngNNCAsFW
12134,3033,81610,left3words_owlqn2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78181,0.9579830903075603,0.7489018976159941,0.6963047930569757,
12134,3033,81610,left3words_owlqn2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78371,0.9603112363680921,0.7490278050587709,0.6967274774140951,overwrote_EngNNCAsFW
12134,3033,81610,left3words_owlqn2_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78216,0.9584119593187109,0.7417969472633753,0.7022223473124721,
12134,3033,81610,left3words_owlqn2_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78407,0.9607523587795613,0.74192250033046,0.7026472563241026,overwrote_EngNNCAsFW
12134,3033,81610,left3words_owlqn2_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78215,0.9583997059183924,0.7538799035072221,0.7020362317709653,
12134,3033,81610,left3words_owlqn2_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78410,0.9607891189805171,0.7540086246279709,0.7024700394006405,overwrote_EngNNCAsFW
12134,3033,81610,left3words_owlqn2_distsim_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78263,0.9589878691336846,0.7571528198773156,0.7052049641290364,
12134,3033,81610,left3words_owlqn2_distsim_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78455,0.9613405219948535,0.7572797102472042,0.705632097795178,overwrote_EngNNCAsFW
12134,3033,81610,left3words_owlqn2_distsim.txt,filipino-tagged-joey-checked-revised-eng-nouns,78255,0.9588898419311359,0.7314103143752858,0.6941923178235686,
12134,3033,81610,left3words_owlqn2_distsim.txt,filipino-tagged-joey-checked-revised-eng-nouns,78445,0.9612179879916677,0.7315371313561538,0.694615002180688,overwrote_EngNNCAsFW
12134,3033,81610,left3words_owlqn2_distsim_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78255,0.9588898419311359,0.7314103143752858,0.6941923178235686,
12134,3033,81610,left3words_owlqn2_distsim_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78445,0.9612179879916677,0.7315371313561538,0.694615002180688,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78190,0.9580933709104277,0.750633323242859,0.7027860133330038,
12134,3033,81610,left5words_owlqn2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78377,0.9603847567700037,0.7507567597838688,0.7032020237265898,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78210,0.9583384389167994,0.7467271249130604,0.7038110351398421,
12134,3033,81610,left5words_owlqn2_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78397,0.9606298247763755,0.7468509278247013,0.7042270455334281,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2_distsim.txt,filipino-tagged-joey-checked-revised-eng-nouns,78253,0.9588653351304988,0.7489190290652413,0.7114168931584722,
12134,3033,81610,left5words_owlqn2_distsim.txt,filipino-tagged-joey-checked-revised-eng-nouns,78440,0.9611567209900748,0.7490447012135474,0.7118329035520581,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2_distsim_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78253,0.9588653351304988,0.7489190290652413,0.7114168931584722,
12134,3033,81610,left5words_owlqn2_distsim_pref6.txt,filipino-tagged-joey-checked-revised-eng-nouns,78440,0.9611567209900748,0.7490447012135474,0.7118329035520581,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2_pref6_tren.txt,filipino-tagged-joey-checked-revised-eng-nouns,78353,0.9600906751623576,0.7479727120856985,0.6993712608927585,
12134,3033,81610,left5words_owlqn2_pref6_tren.txt,filipino-tagged-joey-checked-revised-eng-nouns,78363,0.9602132091655434,0.7479796893590095,0.6993935074378701,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78219,0.9584487195196667,0.7438463334213501,0.7041270348488157,
12134,3033,81610,left5words_owlqn2_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78406,0.9607401053792427,0.7439691672804775,0.7045430452424015,overwrote_EngNNCAsFW
12134,3033,81610,left5words_owlqn2_distsim_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78282,0.9592206837397378,0.747386658038002,0.7096896995176674,
12134,3033,81610,left5words_owlqn2_distsim_pref6_inf2.txt,filipino-tagged-joey-checked-revised-eng-nouns,78469,0.9615120695993138,0.7475113607739581,0.7101057099112533,overwrote_EngNNCAsFW
