	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	24233	14.44%	24017	99.11% Misclassified as: JJD-85(0.35)% | FW-72(0.30)% | RBW-16(0.07)% | NNC_CCP-8(0.03)% | VBW-5(0.02)% | NNP-4(0.02)% | CCB-3(0.01)% | CCT-3(0.01)% | VBS-3(0.01)% | CCP-2(0.01)% | RBL-2(0.01)% | CCA-1(0.00)% | CCU-1(0.00)% | CDB-1(0.00)% | DTC-1(0.00)% | DTCP-1(0.00)% | JJD_CCP-1(0.00)% | PMS-1(0.00)% | PRI-1(0.00)% | RBD-1(0.00)% | VBRF-1(0.00)% | VBTF-1(0.00)% | VBTF_VBAF-1(0.00)% | VBTR-1(0.00)% | 
         NNP	16448	9.80%	16412	99.78% Misclassified as: NNPA-16(0.10)% | NNP_CCP-5(0.03)% | CDB-4(0.02)% | FW-3(0.02)% | NNC-2(0.01)% | CCA-1(0.01)% | CCB-1(0.01)% | CCP-1(0.01)% | CCT-1(0.01)% | DTC-1(0.01)% | LM-1(0.01)% | 
         CCB	10868	6.48%	10844	99.78% Misclassified as: CCT-14(0.13)% | CCP-4(0.04)% | NNC-2(0.02)% | NNP-2(0.02)% | DTP-1(0.01)% | RBW-1(0.01)% | 
         CCT	10209	6.08%	10176	99.68% Misclassified as: CCB-11(0.11)% | RBW-4(0.04)% | CCP-3(0.03)% | DTP-3(0.03)% | NNC-3(0.03)% | CCR-1(0.01)% | FW-1(0.01)% | JJD-1(0.01)% | JJD_CCP-1(0.01)% | NNCA-1(0.01)% | RBD_CCP-1(0.01)% | RBM-1(0.01)% | VBTS-1(0.01)% | VBW-1(0.01)% | 
         DTC	 8195	4.88%	 8193	99.98% Misclassified as: DTCP-2(0.02)% | 
         CCP	 8007	4.77%	 7953	99.33% Misclassified as: RBI-34(0.42)% | CCB-14(0.17)% | NNP-2(0.02)% | CCT-1(0.01)% | NNC_CCP-1(0.01)% | PRS_CCP-1(0.01)% | VBTS-1(0.01)% | 
         PMC	 7985	4.76%	 7978	99.91% Misclassified as: PMS-6(0.08)% | CCP-1(0.01)% | 
         PMP	 6436	3.84%	 6436	100.00% Misclassified as: 
          FW	 5614	3.35%	 5545	98.77% Misclassified as: NNC-38(0.68)% | NNP-24(0.43)% | NNPA-4(0.07)% | JJD-3(0.05)% | 
        DTCP	 5023	2.99%	 5021	99.96% Misclassified as: DTC-1(0.02)% | JJD_CCP-1(0.02)% | 
